id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-19 19:25:30,"{""short_code"":""i45QvB"",""original_url"":""https://relay.cloud/silver/garden/1""}"
2,2,46,created,2025-12-10 00:48:42,"{""short_code"":""v6m2jN"",""original_url"":""https://seeded.app/calm/harvest/2""}"
3,3,115,created,2025-03-08 14:20:08,"{""short_code"":""B0NcUG"",""original_url"":""https://acme.dev/young/lagoon/3""}"
4,4,153,created,2026-01-22 20:51:21,"{""short_code"":""hkJ2KN"",""original_url"":""https://acme.dev/opal/meadow/4""}"
5,5,106,created,2025-06-13 01:32:31,"{""short_code"":""LqoSOD"",""original_url"":""https://example.com/ember/lagoon/5""}"
6,6,342,created,2026-02-07 08:08:03,"{""short_code"":""z0Ef4U"",""original_url"":""https://hackstack.io/ivory/uplink/6""}"
7,7,63,created,2026-01-05 07:25:28,"{""short_code"":""MpUd3L"",""original_url"":""https://relay.cloud/harbor/window/7""}"
8,8,43,created,2025-09-24 15:50:41,"{""short_code"":""EoHROZ"",""original_url"":""https://opswise.net/harbor/yard/8""}"
9,9,348,created,2025-05-04 04:23:54,"{""short_code"":""TCZEYK"",""original_url"":""https://relay.cloud/harbor/meadow/9""}"
10,10,314,created,2025-10-16 02:38:10,"{""short_code"":""2PaTXY"",""original_url"":""https://opswise.net/cobalt/island/10""}"
11,11,3,created,2025-06-06 00:18:58,"{""short_code"":""8oXGxx"",""original_url"":""https://acme.dev/warm/island/11""}"
12,12,58,created,2025-03-26 22:03:09,"{""short_code"":""6ogkXe"",""original_url"":""https://relay.cloud/jade/quartz/12""}"
13,13,144,created,2025-03-29 02:17:14,"{""short_code"":""E0k5c3"",""original_url"":""https://relay.cloud/gold/meadow/13""}"
14,14,144,created,2025-05-17 17:50:35,"{""short_code"":""ogIit0"",""original_url"":""https://relay.cloud/rapid/garden/14""}"
15,15,209,created,2025-10-27 12:10:44,"{""short_code"":""oCqr7s"",""original_url"":""https://seeded.app/harbor/trail/15""}"
16,16,327,created,2025-10-20 14:44:39,"{""short_code"":""RQbKig"",""original_url"":""https://seeded.app/cobalt/valley/16""}"
17,17,73,created,2025-03-20 06:44:44,"{""short_code"":""PviaQ6"",""original_url"":""https://example.com/dawn/valley/17""}"
18,18,279,created,2025-01-12 02:56:58,"{""short_code"":""bEE3E7"",""original_url"":""https://acme.dev/ivory/signal/18""}"
19,19,39,created,2025-04-15 15:06:38,"{""short_code"":""KSh6gz"",""original_url"":""https://opswise.net/harbor/lagoon/19""}"
20,20,355,created,2025-12-07 23:28:58,"{""short_code"":""iSQMzk"",""original_url"":""https://acme.dev/quiet/journey/20""}"
21,21,350,created,2025-12-14 08:22:45,"{""short_code"":""Kfdr1v"",""original_url"":""https://hackstack.io/vivid/zenith/21""}"
22,22,375,created,2025-11-28 16:30:36,"{""short_code"":""eD7qqM"",""original_url"":""https://relay.cloud/calm/zenith/22""}"
23,23,306,created,2025-04-14 21:00:02,"{""short_code"":""GwltbF"",""original_url"":""https://opswise.net/lively/yard/23""}"
24,24,324,created,2025-04-03 04:16:18,"{""short_code"":""xwGJtO"",""original_url"":""https://example.com/ember/field/24""}"
25,25,367,created,2025-03-21 09:04:56,"{""short_code"":""dcxtI0"",""original_url"":""https://example.com/ember/lagoon/25""}"
26,26,29,created,2025-05-27 23:30:21,"{""short_code"":""OwNbiP"",""original_url"":""https://opswise.net/warm/zenith/26""}"
27,27,2,created,2025-06-19 10:41:59,"{""short_code"":""a5w7jh"",""original_url"":""https://opswise.net/harbor/window/27""}"
28,28,338,created,2025-05-19 05:22:34,"{""short_code"":""MvrMAF"",""original_url"":""https://seeded.app/vivid/trail/28""}"
29,29,307,created,2025-01-09 03:15:31,"{""short_code"":""VykicO"",""original_url"":""https://example.com/ivory/pioneer/29""}"
30,30,289,created,2025-05-17 08:35:57,"{""short_code"":""ztKZzV"",""original_url"":""https://relay.cloud/silver/valley/30""}"
31,31,193,created,2025-10-28 17:04:27,"{""short_code"":""k9agsV"",""original_url"":""https://relay.cloud/amber/lagoon/31""}"
32,32,343,created,2025-04-14 19:21:34,"{""short_code"":""46dGKS"",""original_url"":""https://hackstack.io/silver/quartz/32""}"
33,33,19,created,2025-12-30 02:53:30,"{""short_code"":""NnfArQ"",""original_url"":""https://seeded.app/proud/field/33""}"
34,34,139,created,2025-07-25 07:17:57,"{""short_code"":""MWR2ER"",""original_url"":""https://example.com/proud/canyon/34""}"
35,35,242,created,2025-05-23 02:44:49,"{""short_code"":""4V3HrN"",""original_url"":""https://relay.cloud/keen/island/35""}"
36,36,34,created,2025-11-16 19:29:15,"{""short_code"":""Wbevx3"",""original_url"":""https://acme.dev/urban/signal/36""}"
37,37,297,created,2025-01-20 10:17:55,"{""short_code"":""VkNuf6"",""original_url"":""https://opswise.net/ivory/journey/37""}"
38,38,205,created,2025-04-28 23:22:29,"{""short_code"":""jo7Uu2"",""original_url"":""https://opswise.net/silver/trail/38""}"
39,39,150,created,2025-09-20 06:56:13,"{""short_code"":""ACPo8m"",""original_url"":""https://example.com/clear/meadow/39""}"
40,40,227,created,2025-09-11 05:32:13,"{""short_code"":""LDecUj"",""original_url"":""https://acme.dev/cobalt/yard/40""}"
41,41,387,created,2025-08-02 02:09:05,"{""short_code"":""jHjQdz"",""original_url"":""https://hackstack.io/forest/signal/41""}"
42,42,151,created,2025-09-13 19:02:45,"{""short_code"":""ygMbfl"",""original_url"":""https://hackstack.io/clear/beacon/42""}"
43,43,48,created,2026-02-14 10:25:35,"{""short_code"":""jJTPcI"",""original_url"":""https://acme.dev/proud/orbit/43""}"
44,44,341,created,2025-10-20 22:41:09,"{""short_code"":""3XFZmj"",""original_url"":""https://seeded.app/harbor/anchor/44""}"
45,45,121,created,2025-09-15 23:11:39,"{""short_code"":""pa2vt8"",""original_url"":""https://opswise.net/vivid/river/45""}"
46,46,191,created,2026-01-24 16:30:36,"{""short_code"":""mGYast"",""original_url"":""https://opswise.net/ivory/field/46""}"
47,47,216,created,2025-03-10 02:35:53,"{""short_code"":""K0Bgwp"",""original_url"":""https://hackstack.io/silver/yard/47""}"
48,48,79,created,2025-11-28 09:00:39,"{""short_code"":""SicqWR"",""original_url"":""https://example.com/silver/delta/48""}"
49,49,3,created,2025-03-21 23:18:50,"{""short_code"":""oDVj73"",""original_url"":""https://example.com/quiet/field/49""}"
50,50,388,created,2025-08-31 15:12:24,"{""short_code"":""Fp2vVt"",""original_url"":""https://relay.cloud/proud/canyon/50""}"
51,51,277,created,2025-05-11 12:46:18,"{""short_code"":""WP49dk"",""original_url"":""https://opswise.net/urban/garden/51""}"
52,52,102,created,2025-08-19 09:39:01,"{""short_code"":""bKW4ni"",""original_url"":""https://hackstack.io/lively/uplink/52""}"
53,53,296,created,2025-06-06 13:53:53,"{""short_code"":""co7FJk"",""original_url"":""https://hackstack.io/keen/harvest/53""}"
54,54,227,created,2025-09-15 08:08:53,"{""short_code"":""liBqvg"",""original_url"":""https://seeded.app/mellow/garden/54""}"
55,55,143,created,2025-07-12 03:00:46,"{""short_code"":""x2Q3p4"",""original_url"":""https://example.com/harbor/network/55""}"
56,56,133,created,2026-02-12 19:24:26,"{""short_code"":""MHykTY"",""original_url"":""https://acme.dev/clear/yard/56""}"
57,57,278,created,2025-08-31 18:43:50,"{""short_code"":""kItHv0"",""original_url"":""https://seeded.app/vivid/canyon/57""}"
58,58,306,created,2025-07-28 14:55:22,"{""short_code"":""hH0jCG"",""original_url"":""https://example.com/jade/trail/58""}"
59,59,271,created,2025-12-03 23:06:06,"{""short_code"":""Bz9Bdv"",""original_url"":""https://example.com/warm/window/59""}"
60,60,182,created,2026-02-03 00:44:20,"{""short_code"":""qQIEoe"",""original_url"":""https://hackstack.io/brisk/canyon/60""}"
61,61,226,created,2025-11-11 22:20:03,"{""short_code"":""n8oSxG"",""original_url"":""https://example.com/quiet/valley/61""}"
62,62,359,created,2025-11-14 23:31:58,"{""short_code"":""BrFkwX"",""original_url"":""https://acme.dev/jade/network/62""}"
63,63,276,created,2025-12-31 02:18:42,"{""short_code"":""w17Vuk"",""original_url"":""https://opswise.net/mellow/lagoon/63""}"
64,64,68,created,2025-10-30 14:17:38,"{""short_code"":""FnC5Ge"",""original_url"":""https://example.com/lively/network/64""}"
65,65,274,created,2025-04-05 12:10:38,"{""short_code"":""LOagit"",""original_url"":""https://acme.dev/vivid/valley/65""}"
66,66,10,created,2025-11-08 01:39:29,"{""short_code"":""BsBMro"",""original_url"":""https://opswise.net/jade/anchor/66""}"
67,67,348,created,2025-07-07 03:01:10,"{""short_code"":""81y6dz"",""original_url"":""https://opswise.net/keen/window/67""}"
68,68,387,created,2025-11-29 17:36:17,"{""short_code"":""0KliB7"",""original_url"":""https://acme.dev/forest/river/68""}"
69,69,362,created,2025-12-18 20:29:43,"{""short_code"":""sgLjaS"",""original_url"":""https://opswise.net/silver/beacon/69""}"
70,70,374,created,2025-04-28 04:55:30,"{""short_code"":""R1pCOg"",""original_url"":""https://relay.cloud/silver/valley/70""}"
71,71,385,created,2025-03-22 21:15:16,"{""short_code"":""uj1f2C"",""original_url"":""https://hackstack.io/silver/kernel/71""}"
72,72,205,created,2025-05-09 06:44:15,"{""short_code"":""BP602X"",""original_url"":""https://seeded.app/young/quartz/72""}"
73,73,385,created,2025-09-14 03:59:00,"{""short_code"":""3QmyrR"",""original_url"":""https://hackstack.io/young/beacon/73""}"
74,74,248,created,2025-03-16 03:53:14,"{""short_code"":""bzvemy"",""original_url"":""https://seeded.app/quiet/harvest/74""}"
75,75,23,created,2025-12-11 16:52:07,"{""short_code"":""wFp9UA"",""original_url"":""https://relay.cloud/amber/network/75""}"
